Ref,Val,Package,PosX,PosY,Rot,Side
"D1","1N4148WS","D_SOD-323",140.936000,-88.265000,180.000000,top
"D2","1N4148WS","D_SOD-323",140.936000,-90.297000,180.000000,top
"D3","1N4148WS","D_SOD-323",137.600000,-88.265000,180.000000,top
"D4","1N4148WS","D_SOD-323",137.600000,-90.297000,180.000000,top
"D5","4V7","D_SOD-323_HandSoldering",141.394000,-93.853000,90.000000,top
"D6","15V","D_SOD-323_HandSoldering",139.362000,-93.853000,90.000000,top
"D7","4V3","D_SOD-323_HandSoldering",137.330000,-93.853000,90.000000,top
"J1","USB_B_Micro","USB_Micro-AB_Molex_47590-0001",129.748400,-110.693200,0.000000,top
"J2","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",138.264000,-109.474000,90.000000,top
"J3","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",141.478000,-74.041000,0.000000,top
"J4","Conn_02x06_Odd_Even","PinHeader_2x06_P2.54mm_Vertical",138.684000,-82.931000,-90.000000,top
"J5","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",126.085600,-103.987600,90.000000,top
"JP1","Jumper_2_Open","PinHeader_1x02_P2.54mm_Vertical",125.984000,-75.636200,0.000000,top
"JP2","Jumper_2_Open","PinHeader_1x02_P2.54mm_Vertical",129.794000,-75.636200,0.000000,top
"JP3","Jumper_2_Open","PinHeader_1x02_P2.54mm_Vertical",133.604000,-75.636200,0.000000,top
"JP4","Jumper_2_Open","PinHeader_1x02_P2.54mm_Vertical",137.414000,-75.636200,0.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",139.412000,-102.260000,90.000000,top
"U2","ESP-12S","ESP-12S",133.620000,-58.400000,0.000000,top
"U3","PC817","SO-4_6.5x4.6mm_P2.54mm",126.695200,-95.415200,-90.000000,top
"U4","PC817","SO-4_6.5x4.6mm_P2.54mm",132.283200,-95.415200,90.000000,top
